Filename	EXIF:Date Taken [Y-m-d_H-M-S]	IPTC:Keywords	
B00000306_21I6LW_20150612_145221E	2015-06-12_14-52-21	Indoors	
B00000307_21I6LW_20150612_145252E	2015-06-12_14-52-52	Indoors	
B00000308_21I6LW_20150612_145333E	2015-06-12_14-53-33	Indoors	
B00000309_21I6LW_20150612_145406E	2015-06-12_14-54-06	Indoors	
B00000310_21I6LW_20150612_145440E	2015-06-12_14-54-40	Indoors	
B00000311_21I6LW_20150612_145511E	2015-06-12_14-55-11	Indoors	
B00000312_21I6LW_20150612_145542E	2015-06-12_14-55-42	Indoors	
B00000313_21I6LW_20150612_145613E	2015-06-12_14-56-13	Indoors	
B00000314_21I6LW_20150612_145644E	2015-06-12_14-56-44	Indoors	
B00000315_21I6LW_20150612_145715E	2015-06-12_14-57-15	Indoors	
B00000316_21I6LW_20150612_145746E	2015-06-12_14-57-46	Indoors	
B00000317_21I6LW_20150612_145817E	2015-06-12_14-58-17	Indoors	
B00000318_21I6LW_20150612_145848E	2015-06-12_14-58-48	Indoors	
B00000319_21I6LW_20150612_145919E	2015-06-12_14-59-19	Indoors	
B00000320_21I6LW_20150612_145950E	2015-06-12_14-59-50	Indoors	
B00000321_21I6LW_20150612_150021E	2015-06-12_15-00-21	Indoors	
B00000322_21I6LW_20150612_150052E	2015-06-12_15-00-52	Indoors	
B00000323_21I6LW_20150612_150123E	2015-06-12_15-01-23	Indoors	
B00000324_21I6LW_20150612_150158E	2015-06-12_15-01-58	Indoors	
B00000325_21I6LW_20150612_150229E	2015-06-12_15-02-29	Indoors	
B00000326_21I6LW_20150612_150302E	2015-06-12_15-03-01	Indoors	
B00000327_21I6LW_20150612_150342E	2015-06-12_15-03-42	Indoors	
B00000328_21I6LW_20150612_150420E	2015-06-12_15-04-19	Indoors	
B00000329_21I6LW_20150612_150439E	2015-06-12_15-04-34	Indoors	
B00000330_21I6LW_20150612_150440E	2015-06-12_15-04-37	Indoors	
B00000331_21I6LW_20150612_150513E	2015-06-12_15-04-50	Indoors	
B00000332_21I6LW_20150612_150514E	2015-06-12_15-04-53	Indoors	
B00000333_21I6LW_20150612_150514E	2015-06-12_15-04-56	Indoors	
B00000334_21I6LW_20150612_150514E	2015-06-12_15-04-58	Indoors	
B00000335_21I6LW_20150612_150515E	2015-06-12_15-05-01	Indoors	
B00000336_21I6LW_20150612_150516E	2015-06-12_15-05-04	Indoors	
B00000337_21I6LW_20150612_150517E	2015-06-12_15-05-07	Indoors	
B00000338_21I6LW_20150612_150518E	2015-06-12_15-05-10	Indoors	
B00000339_21I6LW_20150612_150519E	2015-06-12_15-05-13	Indoors	
B00000340_21I6LW_20150612_150526E	2015-06-12_15-05-26	Indoors	
B00000341_21I6LW_20150612_150604E	2015-06-12_15-06-03	Indoors	
